"ASV","s.Crohn's Disease","s.Healthy","s.Ulcerative Colitis","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"f17e7e5dbf9930e271b4860403429f71",0,0,1,3,0.362062857724089,0.02,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Family_XI","g__Fenollaria",NA
"e818519212e76a6e38afa506e24f5191",0,1,0,2,0.207615710316447,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__[Eubacterium]_sulci_group",NA
"30753be97d9d33c8c68f245f6c0466e1",0,1,0,2,0.473316689297883,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_UCG-001",NA
"449a3690cf84bfa67c2f821648fad8c4",0,0,1,3,0.336257618220656,0.005,"d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Asteroleplasma",NA
"9045847e9f989fa38f4278f581039e98",0,1,0,2,0.307812268773045,0.005,"d__Bacteria","p__Synergistota","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Cloacibacillus",NA
"64b0e7d6f2d71691614a38a6dd4492e1",0,1,0,2,0.294774640327803,0.01,"d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Incertae_Sedis",NA
"483f8b965721828c938d75964fd98356",0,1,0,2,0.21997067253203,0.005,"d__Bacteria","p__Synergistota","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Pyramidobacter",NA
"dd1a41d4dc7266f13e43c5e08626bb2e",1,1,0,4,0.226793689593809,0.045,"d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__UCG-011","g__Incertae_Sedis",NA
"cb1036a9dd8313ddaca7192e5e5a7da4",0,1,1,6,0.373893841219599,0.045,"d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Oscillibacter",NA
"cb9536fabbbd58ac90f2cce0837ff922",0,1,0,2,0.251119078230041,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-003",NA
"dd2ac2ad82640c93dd949d89f8e80bd3",0,1,0,2,0.395149891739124,0.01,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Incertae_Sedis",NA
"712d7aef27509b53f5f3cf56c9d10aff",0,1,1,6,0.361997792709342,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_NK3B31_group",NA
"403fba0e906628e0d6b8b32b776549ab",0,0,1,3,0.38976930367471,0.025,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Incertae_Sedis",NA
"6aebc468666745808ed23b91228f2950",0,1,0,2,0.175896403959132,0.01,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__CAG-873",NA
"877a97a42dfdcfbf37a0a8aed2fa7e93",1,0,1,5,0.451700496800258,0.02,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas",NA
"1feacc16c7a1be4e3262bce03e1a8d46",0,1,0,2,0.179605302026775,0.04,"d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Sharpea",NA
"6a403960cabac26623171326c99f6c36",0,1,1,6,0.583716846873241,0.005,"d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Turicibacter",NA
"d981e46caa0a095dc1dd689fe997e9df",0,1,0,2,0.254000254000381,0.005,"d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Erysipelotrichaceae_UCG-006",NA
"4b88120e5e216004c88363010617a8aa",0,1,1,6,0.265487492546398,0.015,"d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Solobacterium",NA
"36f8ee536256611288ba9f3eabcb0552",0,1,1,6,0.325774545689284,0.02,"d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Massiliomicrobiota",NA
"f08a7b965556dd84f1c9bb8f1e973533",0,1,1,6,0.415322879950377,0.005,"d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Catenibacterium",NA
"1446edc40fa70e5b5bca4d33a67f2a94",1,0,1,5,0.330889791632747,0.045,"d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Acidovorax",NA
"54925b865c1b62bd0dd9281db263caa4",0,1,0,2,0.178116851538185,0.015,"d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas",NA
"9ac026abc5cec1d41ee044c1b874386c",0,1,0,2,0.485266959144189,0.005,"d__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Slackia",NA
"6dd47d03f2352f8fe24af07a88328b38",0,1,0,2,0.320932154753769,0.005,"d__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Adlercreutzia",NA
"0d4a6e11330178b80eb935e345578220",0,1,0,2,0.312446924161946,0.01,"d__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae",NA,NA
"f0ee86326610d8cf29bf4d38c45d69ab",0,1,1,6,0.534171952609389,0.005,"d__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Senegalimassilia",NA
"25e6a5ade8a44a0c5e8c8ec7cb89a1b0",0,1,0,2,0.33081684801561,0.005,"d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Pasteurellaceae","g__Actinobacillus",NA
"0e6b48ffce8c52ae15a77ccd71ed5f31",0,1,0,2,0.463788390863965,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__CAG-352",NA
"ab334ad9d8917aa4ff9f99d03fbff3d8",0,0,1,3,0.348830810792512,0.035,"d__Bacteria","p__Campylobacterota","c__Campylobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Campylobacter",NA
"e84d4246803a880cb7d986a60132c569",0,1,1,6,0.572325055840819,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Hydrogenoanaerobacterium",NA
"f3392469dde7c27bf6717d174e599e0a",0,1,0,2,0.218952947078814,0.01,"d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Angelakisella",NA
"b3fd807c16765f35a7727e004b00e044",0,1,0,2,0.285826964905688,0.015,"d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Paludicola",NA
"e1fe724b4ea6ca6e7556fd032879f8c8",0,1,0,2,0.489716421351052,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Fournierella",NA
"ab01b92290a62dcf8a7137f845a804fa",0,1,0,2,0.49090380224803,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NC2004_group",NA
"358440ea9bb7670ce23ed1715471dadd",0,1,0,2,0.309724941109139,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__GCA-900066755",NA
"7ca3d11f15591e358541e99e9e4e7ed6",1,1,0,4,0.343047668009432,0.015,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Tyzzerella",NA
"949d11292146e12904547a6db61ce024",0,1,0,2,0.7852600414985,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__GCA-900066575",NA
"c9117f9042972b72f4c968e2bd1004d9",0,1,0,2,0.387226394682816,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_FCS020_group",NA
"85c1f3db8e31354fe6fa4cb71c665d54",0,1,0,2,0.367533419902867,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Faecalicatena",NA
"11264954dafe1240ac2014b949040341",0,1,1,6,0.282545452579066,0.02,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-003",NA
"420aeb51a121a38c96fbb71c38a0b3ca",0,1,0,2,0.36451012613194,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Marvinbryantia",NA
"ecc1703f33d45bb278ff591d247c9b68",0,1,0,2,0.347594883694107,0.045,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__CAG-56",NA
"cf6cda4874d23035923fa0c6dd43a553",0,1,0,2,0.160527174554129,0.015,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__FD2005",NA
"20c39f2e39f4dc6f742271d075c62ed0",0,1,0,2,0.230958957415156,0.04,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Shuttleworthia",NA
"76b77cd1d964a78d9301628e3164a3d1",0,1,0,2,0.491255871115294,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Howardella",NA
"100bfb14af8db6edb5a6c71c89a15009",1,1,0,4,0.406186660570945,0.015,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_xylanophilum_group",NA
"4eb88b0d63f34c644254a429147a4246",1,1,0,4,0.398884828220476,0.02,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_ruminantium_group",NA
"9520ed1cc14138358955a8a620faa15b",1,1,0,4,0.35843713160274,0.01,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Incertae_Sedis",NA
"867a01af0330c269ec80621ecbbb39ff",1,1,0,4,0.395479563965359,0.01,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-008",NA
